GEOID,year,voteshare,CnP_distance_miles,CnP_distance_log,M1_distance_miles,WHITE,INCOME10K,POPULATION100K,BA,M1_distance_log,proximity
18127,2024,43.795972648848405,9.008218065980012,2.1981372791394063,17.318107154646434,85.14039621016364,8.4352,1.75335,18.041565633996793,2.851752610478833,40.99178193401999
18131,2024,22.210654173173694,46.00374739560667,3.8287228582928763,35.19350191412005,92.2675026123302,6.0487,0.12385,8.5646720131606,3.5608614608500053,3.9962526043933266
18141,2024,49.82269023578138,41.58005427890175,3.727620587837907,13.546686240080003,72.13967583115044,6.1028,2.72848,18.50889657581107,2.6061419594888684,8.419945721098252
18149,2024,23.24871158618057,33.78289610568487,3.5199546420351937,19.177727519143744,94.08583690987125,5.8523,0.23206,8.34213892442022,2.9537495806393017,16.21710389431513
21001,2024,14.007131713839982,47.102604081002035,3.85232828783802,57.6300770707175,91.32309633992428,4.4153,0.19264,9.82605841811618,4.054044602784441,2.8973959189979652
21003,2024,15.980038224676152,31.47306151876168,3.4491319900675252,23.059349423118135,95.36830091778022,6.1655,0.21788,9.602076124567475,3.1380713020889965,18.52693848123832
21009,2024,23.05322694677305,19.54658077230927,2.9728003745781177,26.523542357221203,88.81352137900157,5.0658,0.45008,10.361127422196125,3.2780327294451332,30.45341922769073
21027,2024,20.28264331210191,42.51508256788468,3.7498588969241844,24.93842839382818,94.41173631888815,5.24,0.21124,8.933017928286853,3.216409922782297,7.484917432115317
21031,2024,16.23759044253744,30.370690477992312,3.413478014327438,18.98304185514865,93.98690697486462,5.0824,0.12375,4.958938723941882,2.943546046681318,19.629309522007688
21057,2024,14.032539221382917,49.684221032902926,3.905687398446364,58.646172627268044,93.10692669804976,4.8864,0.06,8.683473389355742,4.071522315123007,0.3157789670970743
21061,2024,17.896590363374422,6.00085014767692,1.7919011504702804,15.074071119904113,94.91954586294209,5.1402,0.12448,5.226586102719033,2.71297612346137,43.99914985232308
21085,2024,18.478710210830922,21.225879784582585,3.0552211817309507,28.02615242106745,95.82863161062212,5.213,0.26825,7.4012023258105835,3.333138089292698,28.774120215417415
21087,2024,13.35154515963804,32.01368416510386,3.4661634415515037,39.81888645515762,95.88579535378614,4.6169,0.11468,8.243606998654105,3.6843413337839026,17.98631583489614
21093,2024,34.466120377688114,35.5077866043711,3.569752013397857,2.8153120178109186,76.67246886552059,6.192,1.12273,14.146452051688959,1.0350730965898745,14.492213395628902
21099,2024,19.526697585919848,15.099354588918114,2.7146520004516397,30.61866147145146,91.34052388289676,4.7229,0.19724,5.688073394495413,3.4216096750823874,34.90064541108188
21123,2024,19.13486706157873,33.70650551989427,3.517690860861442,19.969217636773983,91.30290125099813,5.3939,0.15303,7.278045423262217,2.9941919697335972,16.29349448010573
21141,2024,21.85276956278475,47.91674992735463,3.869465128622198,28.979354125826617,89.42699505968051,5.6823,0.28283,10.15854932118105,3.3665836497506882,2.08325007264537
21169,2024,17.242051882192317,31.060662553852787,3.435942148911342,42.96596333492123,94.10913999228693,4.4973,0.10482,6.747536012130402,3.7604082519015005,18.939337446147213
21171,2024,10.851544837980406,40.63882249753568,3.704723828872512,44.0610015007425,93.55893267361725,4.5872,0.11306,6.089669516986365,3.785575071500398,9.361177502464322
21183,2024,19.14601810368474,43.61529314932767,3.7754078491586545,19.391500263424465,92.68899763752954,5.0275,0.23626,7.585096340718529,2.964834839310645,6.38470685067233
21213,2024,27.381494986326345,40.76330900262476,3.707782387655685,22.796214134380506,84.4940867279895,5.855,0.20195,9.257301440465177,3.1265944754354122,9.236690997375241
21217,2024,21.009705570508117,45.594054933818875,3.81977733376252,43.42706620252368,90.01335622972715,5.2414,0.26443,12.687969924812032,3.7710828919399333,4.4059450661811255
21227,2024,37.02694626566592,21.881085202152647,3.085622574228445,3.2658373885702856,77.66759482075479,6.0651,1.42229,18.934399756825044,1.1835162041386,28.118914797847353
23009,2024,54.663062367252365,18.227947843862946,2.9029560120777567,60.305771730438934,93.91626845446116,6.3879,0.56526,23.514719381764618,4.099427816075269,31.772052156137054
23013,2024,58.22423048700421,40.20643945715513,3.6940271682980192,58.81743113046672,94.65736661771903,6.5615,0.40977,23.47664433887102,4.074438258769669,9.793560542844872
23027,2024,50.38201352964584,41.308987710921826,3.7210800964103363,57.62611236478624,93.87091936209569,6.3619,0.4062,19.10728985639806,4.053975804640893,8.691012289078174
26021,2024,45.35910425149133,32.682463911621994,3.4868386622422074,0.004314874311427546,75.00831100768524,6.179,1.52261,17.163236125428124,-5.445687083161238,17.317536088378006
