GEOID,year,candidatevotes,totalvotes,voteshare
 1121,2000,11264,25451,44.257593021885185
 1121,2004,11374,29898,38.042678440029434
 1121,2008,13779,34204,40.284762016138465
 1121,2012,13905,33373,41.66541815239865
 1121,2016,12121,33407,36.28281497889664
 1121,2020,13138,35663,36.83930123657572
 1121,2024,10898,33250,32.77593984962406
 1123,2000,6183,16253,38.04220759244447
 1123,2004,5451,17952,30.364304812834224
 1123,2008,6063,19311,31.396613329190615
 1123,2012,6319,18829,33.55993414413936
 1123,2016,5519,19486,28.322898491224468
 1123,2020,5859,20991,27.911962269544087
 1123,2024,4975,20023,24.84642660939919
 1125,2000,24614,60114,40.945536813387896
 1125,2004,26447,69830,37.873406845195476
 1125,2008,32796,78912,41.56021897810219
 1125,2012,32048,78590,40.778725028629594
